,Sample,20[80114-1-U3]R.mzXML Peak height,14[80106-1-U3]R.mzXML Peak height,16[80110-1-U3]R.mzXML Peak height,12[80104-1-U3]R.mzXML Peak height,15[80107-1-U3]R.mzXML Peak height,17[80111-1-U3]R.mzXML Peak height,13[80105-1-U3]R.mzXML Peak height,11[80103-1-U3]R.mzXML Peak height,25[50013-1-U3]R.mzXML Peak height,24[50012-1-U3]R.mzXML Peak height,21[50009-1-U3]R.mzXML Peak height,19[80113-1-U3]R.mzXML Peak height,18[80112-1-U3]R.mzXML Peak height,1[40011-1-U3]R.mzXML Peak height,10[40007-1-U3]R.mzXML Peak height,27[50015-1-U3]R.mzXML Peak height,26[50014-1-U3]R.mzXML Peak height,28[50016-1-U3]R.mzXML Peak height,31[60195-1-U3]R.mzXML Peak height,22[50010-1-U3]R.mzXML Peak height,30[50018-1-U3]R.mzXML Peak height,23[50011-1-U3]R.mzXML Peak height,29[50020-1-U3]R.mzXML Peak height,3[40003-1-U3]R.mzXML Peak height,39[60253-1-U3]R.mzXML Peak height,37[60251-1-U3]R.mzXML Peak height,2[40012-1-U3]R.mzXML Peak height,38[60252-1-U3]R.mzXML Peak height,33[60197-1-U3]R.mzXML Peak height,32[60196-1-U3]R.mzXML Peak height,40[60254-1-U3]R.mzXML Peak height,34[60198-1-U3]R.mzXML Peak height,36[60250-1-U3]R.mzXML Peak height,35[60247-1-U3]R.mzXML Peak height,4[40001-1-U3]R.mzXML Peak height,5[40002-1-U3]R.mzXML Peak height,6[40009-1-U3]R.mzXML Peak height,7[40010-1-U3]R.mzXML Peak height,9[40006-1-U3]R.mzXML Peak height,8[40005-1-U3]R.mzXML Peak height,45[Pr-EH0033]R.mzXML Peak height,42[Pr-EH0030]R.mzXML Peak height,41[Pr-EH0029]R.mzXML Peak height,50[Pr-EH0039]R.mzXML Peak height,48[Pr-EH0036]R.mzXML Peak height,44[Pr-EH0032]R.mzXML Peak height,47[Pr-EH0035]R.mzXML Peak height,46[Pr-EH0034]R.mzXML Peak height,51[Pr-EH0081]R.mzXML Peak height,43[Pr-EH0031]R.mzXML Peak height,59[Pr-EH0090]R.mzXML Peak height,52[Pr-EH0082]R.mzXML Peak height,63[Pr-EH0215]R.mzXML Peak height,58[Pr-EH0089]R.mzXML Peak height,55[Pr-EH0085]R.mzXML Peak height,53[Pr-EH0084]R.mzXML Peak height,49[Pr-EH0037]R.mzXML Peak height,69[Pr-EH0237]R.mzXML Peak height,64[Pr-EH0217]R.mzXML Peak height,56[Pr-EH0086]R.mzXML Peak height,65[Pr-EH0223]R.mzXML Peak height,54[Pr-EH0083]R.mzXML Peak height,57[Pr-EH0088]R.mzXML Peak height,62[Pr-EH0213]R.mzXML Peak height,60[Pr-EH0091]R.mzXML Peak height,68[Pr-EH0234]R.mzXML Peak height,78[Pr-EH0352]R.mzXML Peak height,61[Pr-EH0212]R.mzXML Peak height,70[Pr-EH0242]R.mzXML Peak height,66[Pr-EH0232]R.mzXML Peak height,71[Pr-EH0339]R.mzXML Peak height,80[Pr-EH0354]R.mzXML Peak height,74[Pr-EH0349]R.mzXML Peak height,77[Pr-EH0351]R.mzXML Peak height,76[Pr-EH0350]R.mzXML Peak height,72[Pr-EH0340]R.mzXML Peak height,73[Pr-EH0344]R.mzXML Peak height,67[Pr-EH0233]R.mzXML Peak height,75[Pr-EH0335]R.mzXML Peak height,79[Pr-EH0353]R.mzXML Peak height
,"224,9525","201028,7194","1,07E+03","63706,9308","79186,16696","1,07E+03","41751,09308","38315,15781","163205,8112","1,07E+03","84856,7308","52571,13013","1,07E+03","286150,2158","1,07E+03","1,07E+03","39757,98348","41662,34397","37727,10201","45915,17478","1,07E+03","54951,0808","56235,58638","57139,47411","61851,49085","119927,0223","53645,22656","1,07E+03","49913,93906","34506,96808","46454,58705","57972,55","1,07E+03","46871,50826","30460,46908","100622,6098","1,07E+03","64020,89955","32306,54576","1,07E+03","1,07E+03","176532,0071","68483,20982","54144,94308","3807,699038","80295,1058","97782,18862","3807,699038","3807,699038","213899,2183","111234,3241","330062,9629","157641,9938","3807,699038","141556,5464","380019,7464","3807,699038","44460,58571","58705,67879","109827,1174","3807,699038","3807,699038","106324,1748","195391,7038","73969,77768","62077,06719","70453,65402","3807,699038","50587,82969","56530,1683","59980,02232","3807,699038","192511,4063","3807,699038","151823,3821","112275,5384","40875,55893","316678,8482","47017,4654","3807,699038","3807,699038"
,"225,0821","1,07E+03","1,07E+03","1,07E+03","1,07E+03","39869,78125","63771,25","56914,60737","48705,36429","1,07E+03","38664,62165","63119,61875","1,07E+03","1,07E+03","20282,32433","41765,23192","45303,07612","50018,68259","1,07E+03","47712,52634","40171,3529","30061,00324","45387,97366","1,07E+03","61188,1683","1,07E+03","62092,16987","73449,87366","46811,94375","1,07E+03","67999,8558","55552,92634","53014,74275","1,07E+03","1,07E+03","39429,49263","340641,475","102503,329","69127,91741","78801,73929","68139,10402","125735,2516","53783,40848","245915,9085","555818,1406","62044,36116","222958,1384","213807,0429","93443,95714","72649,84152","41672,71094","3807,699038","179053,8938","98159,65446","63833,14063","3807,699038","190078,2143","258702,9386","133953,5277","36256,72344","78104,61786","94174,64196","152893,1384","108854,7516","147616,5402","56530,97656","118591,2031","3807,699038","57174,56696","489763,1991","3807,699038","70614,85045","82580,94554","82809,15536","49790,32098","98802,30759","25844,08114","115130,4509","52727,41629","582345,7777","3807,699038"
,"225,1206","54799,30268","82592,34464","266742,0371","268954,0844","1,07E+03","62010,45223","55489,07009","117883,7313","1,07E+03","70777,13214","189528,6217","69185,5375","78564,14911","1,07E+03","87233,62656","38269,8346","247464,7241","74464,47768","52792,2971","37347,40246","63908,19107","62666,70156","57180,47522","104709,6621","127420,2478","72417,55625","146466,8748","105301,4196","28959,33873","53062,92344","110176,2531","1,07E+03","43576,30112","41102,76696","69592,77098","36470,56674","156862,2103","39280,81853","70466,66205","39629,93326","222948,0261","76728,44509","93864,74911","3807,699038","77001,04464","536017,7402","234847,4192","245302,3732","297257,4063","58615,72299","87054,0933","94949,78884","3807,699038","189220,4018","256506,5634","56595,20848","531584,2786","186472,1415","156896,2527","183633,7375","75767,39107","566238,6576","471834,125","71156,44464","189350,7096","268032,8453","73473,93929","56236,26563","1005264,771","60391,63862","67302,84821","288053,8388","92382,43973","746345,2357","445287,5759","204947,1958","348395,9045","98095,37812","440595,6795","112362,721"
,"226,1046","1,07E+03","1,07E+03","37787,29643","106285,4723","1,07E+03","136313,7935","51040,65201","1,07E+03","1,07E+03","57365,96875","476142,9188","256807,3545","35040,78326","1,07E+03","56330,9875","44672,09911","184341,9871","49700,42969","43499,20915","1,07E+03","1,07E+03","54924,82946","1,07E+03","57984,13125","68284,91696","1,07E+03","262660,0489","1,07E+03","1,07E+03","1,07E+03","48305,26473","1,07E+03","60961,23348","103163,8539","51828,79933","1,07E+03","1,07E+03","72196,875","1,07E+03","1,07E+03","166029,8018","89007,81071","37527,23058","85431,79241","313071,7536","590428,2321","121681,0973","24749,18058","446571,4054","61023,92478","157894,4728","1049480,039","3807,699038","471300,0071","1838682,011","3807,699038","232316,8259","79397,30848","3807,699038","67774,17321","51217,84286","218842,6951","1274117,346","269977,833","840449,9589","3807,699038","228730,1455","3807,699038","227687,5116","3807,699038","106261,8089","86583,0567","3807,699038","4367088,771","374525,6607","148988,6118","2047523,093","3807,699038","1050892,973","115166,1723"
,"226,116","69583,23884","121696,7009","271620,5924","526604,3071","1,07E+03","180712,6895","325755,8754","223191,1723","20159,875","70236,78259","115751,4442","413105,7201","218233,3344","34819,62009","120558,1461","43986,0846","99788,49464","1,07E+03","176017,3313","58363,63638","139206,077","84172,65402","103639,6719","59978,8346","238209,5705","64707,29732","90679,2067","73771,11295","85045,91406","108203,3984","171804,6094","80737,51585","206424,2938","70229,42857","377919,3585","184547,4924","202480,3321","70933,35759","384615,3754","125866,3828","321599,8781","221378,0625","253248,9982","150729,1","165220,2326","332644,3513","151646,4804","726334,4821","335102,6563","104111,1484","312685,346","137254,6152","508465,1446","145591,2813","648538,8625","214857,4938","1085005,532","340571,0188","297107,0239","66652,92455","123499,4219","123818,3692","196384,7248","91993,48884","62646,07768","323056,8879","89464,71607","62175,69375","1531085,739","49999,56518","200201,2969","796241,5571","142664,5464","1382959,245","90699,07545","89841,80446","908469,7223","150567,5156","456451,0335","215351,6286"
,"227,0316","422024,1705","480205,0009","354552,1634","231922,7143","523336,0192","246495,5455","475145,2902","415186,0478","43330,49933","302734,1873","613659,9884","452694,75","320534,7585","226890,0815","607728,8509","204139,8714","397926,9266","354884,5","445491,9888","350720,6563","237798,6688","548659,625","715405,0625","619769,8125","410857,7188","370121,4442","884665,8125","267146,8161","292917,4754","264402,1511","348859,0567","407668,7737","366622,5888","247417,4467","1364546,586","286166,3371","619398,8054","245008,3687","440991,1263","590360,75","725938,7196","657246,9134","497070,875","698270,375","528946,0179","189651,2969","5681778,5","326549,3241","560908,5625","805452,875","299611,9924","467704,9375","539020,2482","606335,1875","215784,9254","535177,9022","146727,3935","769075,3013","829906,9375","371625,3587","675742,7321","336911,4688","502100,5","917647,6875","360056,3728","690022,0625","476302,3746","612073,125","273910,9004","542149,25","430496,7386","674273,3125","907101,3299","302604,6563","616081,6875","340377,625","319305,6683","579421,517","622145,0625","302955,0625"
,"227,0318","422024,1705","480205,0009","347071,4571","247168,2281","523336,0192","230311,0156","475145,2902","408554,9761","43330,49933","313123,9346","628214,4554","452694,75","320534,7585","226890,0815","607728,8509","343360,4688","397926,9266","251625,4958","445491,9888","256827,0906","237798,6688","462985,6424","602090,958","439566,5808","199559,4634","370121,4442","739648,325","381938,3125","292917,4754","264402,1511","348859,0567","407668,7737","366622,5888","247417,4467","1364546,586","289664,1321","619398,8054","245115,5391","440991,1263","439001,923","725938,7196","657246,9134","436836,1786","478268,0638","528946,0179","130236,9886","5294455,793","326549,3241","560908,5625","669319,7393","268501,2313","227170,9696","539020,2482","370639,8286","215784,9254","660919,8125","146727,3935","769075,3013","723156,5661","606274,75","674584,9009","218777,2935","394946,2708","510786,0429","368720,6641","373075,6089","553374,75","464233,5143","273910,9004","263329,6357","430496,7386","520553,1685","907101,3299","180863,4884","357131,5607","165326,275","319305,6683","571019,3054","302184,7446","147149,6018"
,"227,0322","478241,75","522345,625","463386,9375","361668,0938","772337,125","321432,3125","539007,625","549154,8125","89209,85156","407486,375","816259,25","548724,375","465428,0938","214593,0781","689029,625","250543,4045","461174,0625","261940,3549","559650,875","256827,0906","338708,5625","300607,9036","602090,958","439715,1321","369519,192","469496,4375","739648,325","277916,5888","302177,6563","368983,9375","509091,0313","461094,5313","385657,5938","300146,8438","1446668,25","314849,3125","647522,0625","289191,1875","529106,0625","439001,923","913655,875","789842,375","332599,2069","478268,0638","746159,875","130236,9886","5294455,793","359911,9688","871641,1875","538046,8821","376524,0313","227170,9696","586624,875","370639,8286","247051,5313","286640,0661",177123,"1132274,875","723156,5661","426143,0283","904638,125","199048,3518","334075,5813","510786,0429","504531,5313","373075,6089","251309,4821","464233,5143","288312,5625","263329,6357","634972,5","446634,4545","903573,9375","180863,4884","357131,5607","165326,275","454039,7813","919283,9375","302184,7446","147149,6018"
,"227,0638","130371,725","220061,1594","212254,1475","287213,6942","153672,7228","137066,8306","155950,0987","312357,1446","1,07E+03","372201,1875","457418,8438","287576,8618","371539,125","41710,38795","293211,1911","256101,25","336598,9929","119743,1433","274657,6446","180524,7395","255819,3438","339191,6875","300778,6888","367475,4063","393902,625","208492,7991","259635,625","517630,0625","171882,9875","234379,9375","439191,5313","81050,66205","173733,8089","292520,4375","315403,4491","112755,3984","445809,3469","163261,1328","282558,0371","216754,4844","326251,3125","257573,4732","172987,3223","178615,5978","320754,6563","107823,2513","239955,9268","263608,6563",564895,"257236,5313","251791,4652",383388,"102092,7866","375797,3438","226847,5214","326236,375","216908,1795","367554,625","218543,4844","337199,0313","268722,4063","202421,4688","547917,4375","393106,4688","273785,4063","604177,5","320020,7813","187339,3786","209815,8866","363125,1563",284707,"674301,9375","523824,3438","375479,1871","479284,1875","294254,6875","519099,9478","225330,7761","335123,125","224788,0625"
,"227,0644","268412,375","239114,8906","241445,4375","422418,5938","154403,8125","164627,3438","208135,6719","300547,2188","1,07E+03","321808,6902","359233,9973","285927,8125","361842,604","85874,32813",380824,"190346,2321","372208,1875","164391,2031","352189,5","203209,4844","292074,9449","318429,1263","394254,375","342428,6013","258579,0321","270580,9375","217433,8897","463065,3897","213257,0938","202956,5446","301507,4634","126663,1094","178847,5781","253957,56","404449,5938","80244,0596","485944,0938","191778,4063","275463,3125","105280,7496","259885,5891","323360,9375","208934,8281","215429,1563","218387,7509","129483,1563","247673,8438","230195,2719","435887,0594","198274,3759","377805,0938","270804,467","3807,699038","342340,4063","334877,2813","231508,6906","283501,4375","309328,5071","159949,2371","163782,3866","239751,2027","174443,567","433115,6902","286980,8906","222627,5694","398096,0906","155438,6652","256594,6094","280934,9688","250016,017","264661,4415","491936,4357","389920,1701","463123,7813","343799,8054","252143,3627","654430,9375","335325,9375","271339,1496","109182,7732"
