Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104
Metabolite Name,54C,29H,6H,37H,56C,154C,68C,10C,9C,78C,52H,62C,88C,34H,56H,132C,66C,13H,31H,11H,74C,1C,130C,10H,114C,9H,35H,112C,21C,142C,45H,118C,41H,170C,52C,122C,108C,40H,64C,72C,98C,148C,116C,96C,166C,17C,140C,60C,49H,36C,20C,100C,33H,8H,81C,14C,164C,152C,28H,23H,44H,134C,7H,158C,168C,3C,146C,54H,57H,94C,12H,34C,42H,136C,46H,172C,55H,120C,14H,35C,24H,48H,20H,156C,16H,48C,30H,17H,27H,50H,144C,110C,21H,15H,160C,45C,19H,70C,39H,150C,92C,58C,47H
Factors,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy
187.0971,97.328,375.01,81.717,363.724,0,163.959,147.074,78.502,84.058,135.347,315.957,146.197,85.498,328.974,391.805,320.149,136.377,222.219,295.396,226.257,110.87,127.768,83.47,242.038,128.269,257.995,378.485,235.049,255.842,219.831,302.557,73.854,383.707,82.586,306.898,166.592,191.376,272.255,184.139,162.65,122.32,218.782,96.542,66.64,116.93,208.261,132.934,161.306,331.431,87.53,59.39,83.325,273.964,174.56,127.25,174.862,179.268,146.636,284.768,265.621,313.238,105.003,269.256,49.541,206.805,160.858,200.184,327.696,418.178,128.837,310.033,55.352,398.295,115.924,364.207,86.955,326.778,58.855,275.013,45.648,178.166,294.041,124.151,133.234,162.622,54.085,248.757,125.905,229.35,312.825,32.546,219.911,192.777,228.837,174.2,129.577,0,77.672,257.511,56.012,105.988,201.972,214.542
365.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0.488,0,0.342,0,0,0,0,0.284,0,0.236,0,0.212,0.222,0.368,0.176,0,0,0.307,0,0,0,0,0,0,0,0.447,0.373,0,0.297,0.135,0.139,0,0.26,0.172,0.352,0.171,0.313,0.332,0.209,0.405,0.23,0.106,0.179,0.516,0.108,0.416,0.088,0.205,0.133,0.151,0.142,0.119,0.062,0.206,0.1,0.099,0,0.113,0.085,0.131,0.086,0.174,0,0.063,0.142,0.189,0.099,0,0.083,0.187,0.077,0,0.22,0.385,0.145,0.103,0.043,0.077,0.069,0.154
415.2302,0,90.014,47.426,75.24,0,59.5,42.103,0,53.724,76.55,93.811,59.889,40.406,79.541,76.511,84.206,53.016,42.859,84.186,42.954,0,0,40.039,43.96,0,48.43,83.898,43.62,0,52.919,51.909,0,64.025,38.066,76.055,42.356,46.673,56.858,56.207,35.961,0,41.079,0,0,0,49.509,0,46.757,67.316,0,0,28.579,60.41,35.682,32.114,38.143,35.217,39.043,72.34,80.743,72.165,62.756,40.365,0,52.523,29.233,37.771,61.923,96.078,33.5,66.566,0,82.498,38.895,79.886,0,62.066,18.553,36.643,29.602,56.872,45.27,46.076,23.297,40.666,26.695,54.542,28.246,50.549,72.883,25.128,35.725,47.026,54.67,32.456,33.818,38.282,17.953,47.954,20.033,46.046,43.115,41.937
335.0288,26.568,19.257,0,0,0,16.022,8.926,14.112,0,7.894,13.12,11.315,15.941,11.484,0,36.82,11.252,0,9.245,5.883,20.823,12.423,6.396,0,6.216,0,4.923,4.772,115.161,6.38,25.833,0,8.135,9.97,5.558,0,0,0,19.599,4.536,10.204,3.158,12.793,0,6.245,0,32.687,0,9.796,0,67.895,7.692,21.353,6.942,0,13.072,8.033,4.367,2.51,8.653,5.612,5.56,0,13.902,5.648,0,0,0,0,32.805,0,0,4.975,0,8.216,0,10.486,2.535,4.795,0,3.154,0,0,4.499,22.126,10.594,0,0,0,4.688,3.286,14.139,0,0,11.039,6.08,14.24,0,0,9.845,0,9.892,0
413.1299,4.011,4.595,0,2.687,0,3.568,0,2.943,3.968,0,2.573,0,0,3.767,3.549,3.497,0,2.865,3.786,2.156,0,0,0,1.994,0,1.78,0,0,0,0,0,0,2.028,0,2.3,1.459,0,1.207,1.596,1.262,0,1.049,0,0,0,0,0,0,0,0,0,0,1.049,1.135,0,0,1.997,1.446,0,0.983,0.779,0,0.832,0,0.783,0,0,0,1.183,0,0.723,0,0,1.409,1.046,0,0.614,0,0.779,0,0,0,0,1.529,0.941,0,0.539,0,0.911,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0
263.1052,34.542,0,15.222,25.174,16.19,20.63,17.289,22.82,23.152,0,17.205,0,0,0,14.686,0,0,0,14.721,20.519,0,0,30.751,11.777,0,26.133,33.57,0,0,0,20.787,0,15.166,19.282,14.042,0,23.468,23.725,18.292,0,0,8.574,0,0,0,0,11.844,29.975,30.905,0,0,22.607,0,0,0,0,0,0,0,27.003,11.436,36.196,14.127,0,0,13.249,0,29.813,0,34.301,0,14.754,0,0,28.359,0,17.61,0,0,13.329,21.297,21.141,14.728,13.861,0,0,7.103,9.022,4.732,0,15.27,0,11.891,7.272,17.779,0,122.601,0,0,0,14.638,0,40.842
311.1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.956,0,23.644,0,0,0,26.691,0,29.467,57.204,30.206,0,19.333,18.064,0,38.372,19.465,28.287,0,0,28.809,25.666,0,0,0,0,0,0,0,0,159.703,39.041,0,0,28.146,40.546,8.366,79.692,34.881,34.191,76.744,76.457,42.402,36.59,42.851,19.549,0,9.813,59.608,10.768,30.035,45.592,24.094,24.355,25.293,30.248,0,0,13.757,51.037,0,35.195,0,37.3,26.856,48.326,0,0,0,35.817,35.114,44.359,29.49,0,0,0,37.237,55.075,32.662,0,0,15.25,0,28.688,0,23.481
593.2826,0,0,5.049,2.473,0,4.335,0,0,0,2.685,2.303,0,0,5.805,5.519,0,0,7.592,0,1.886,0,3.9,0,2.427,0,1.692,0.892,0,0,0,1.681,1.737,0.708,4.615,1.389,0,0,1.255,0.906,1.455,0,3.28,1.114,4.618,2.02,1.16,0,1.464,0,0,0,2.508,5.838,6.079,0.694,3.577,3.36,4.842,4.995,4.521,2.224,1.147,1.939,1.588,1.194,1.119,0.878,1.01,0,0,4.93,0,0.711,1.357,0,2.917,0.374,1.175,1.023,6.877,0.049,6.453,3.879,1.859,4.883,0.068,4.397,0.346,2.591,1.774,0.457,3.547,0.062,2.38,0.496,1.949,0.488,2.136,0.703,0,0,0,0.668
191.056,51.652,0,48.354,15.76,0,103.841,67.491,34.251,47.549,0,15.295,0,0,0,18.555,19.092,40.755,20.97,53.093,31.328,41.387,51.971,0,54.684,62.032,0,0,0,74.602,17.709,0,0,9.309,49.2,6.597,11.759,0,0,13.198,51.69,100.443,0,0,0,10.102,0,0,0,27.417,115.598,0,63.745,5.123,0,14.66,26.956,23.487,63.186,0,28.682,0,0,15.96,0,41.926,44.296,45.696,0,29.663,25.671,25.688,38.078,0,57.395,24.329,35.762,8.618,118.696,23.91,33.529,0,0,0,0,58.658,75.906,24.05,14.849,28.468,86.606,0,56.018,12.739,0,30.654,40.099,19.899,49.75,0,58.085,0,20.595,8.508
437.2186,0,7.517,0,5.893,0,0,0,0,0,5.198,8.025,0,0,7.243,5.967,6.832,0,0,6.407,4.114,2.156,1.482,3.774,3.5,2.037,5.672,6.649,3.507,3.729,3.913,4.832,3.705,4.515,2.869,6.616,2.667,3.914,4.524,5.626,3.162,2.267,8.607,0,2.483,0,3.233,0,2.993,4.329,0,4.209,2.475,4.603,3.566,0,1.947,2.508,4.255,5.016,5.473,5.02,4.245,2.025,1.182,6.804,1.197,1.402,6.257,4.398,1.185,4.039,2.116,5.19,3.04,4.67,0.936,4.214,0,2.154,0,3.362,1.994,3.621,1.928,2.01,0,3.42,0,3.7,4.636,2.659,0,2.492,1.771,2.605,2.355,3.403,0,2.842,0,3.322,3.509,4.748
377.0442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.025,0,0,0,0,0.74,0.659,0,0.936,0.488,0,19.946,0.477,0.431,0.924,0.48,0.609,0.666,0.5,5.945,0.513,0,0.543,0.482,0.639,0.431,0.487,0.402,0,0.641,0,0.485,0.414,0.657,0.639,0.592,0.445,0,0,0,0,0,0,0,0,0,0.755,1.283,0,2.275,0,11.69,0,0,0,15.385,0,0,0,0,0,0,0,0,0.258,0,0.615,0,0.233,0,0.362,0.59,0.247,0.31,0.139,0.395,13.909,15.637,0,0.172,0.57,14.302,1.662,0,0,0,0,0,2.146
376.2251,0,13.594,0,0,0,0,0,0,0,0,0,0,0,12.862,0,0,0,0,0,7.751,0,0,0,6.328,0,6.908,7.661,7.547,0,0,0,0,0,0,0,0,0,0,8.237,0,0,0,0,0,0,0,0,0,0,0,0,7.356,0,0,11.147,8.237,7.711,0,8.326,3.459,2.359,2.045,2.718,0,0,2.785,0,1.779,2.077,0,2.334,2.777,2.192,0,2.133,2.695,0,4.231,5.134,7.952,10.411,4.248,8.138,6.399,5.446,9.049,7.188,4.447,8.332,6.867,4.195,5.725,7.033,6.045,6.933,6.606,3.966,5.587,5.086,5.854,6.291,6.155,5.406
473.2756,0,0,0,0,0,0,0,0,0,0,18.251,0,0,0,24.166,0,0,0,19.685,13.98,11.446,15.98,11.884,11.339,12.611,13.75,16.104,16.334,16.481,18.55,17.469,0,14.197,0,31.792,0,0,19.153,19.358,18.613,0,22.629,0,0,0,0,0,0,0,0,0,0,13.145,15.056,0,0,12.591,11.372,11.811,16.556,19.857,13.427,15.61,0,12.819,12.129,14.487,11.582,0,0,19.702,0,12.532,0,12.682,0,14.053,0,8.368,0,0,11.27,0,9.025,0,0,8.511,0,5.837,11.708,9.252,15.611,0,0,0,10.316,0,0,18.822,0,0,0,0
419.315,0,0,0,0,0,1.709,0,0,0,0,1.671,0,0,0,2.011,0,0,2.084,0,0,0,4.002,1.615,0,0,2.708,2.318,0,0,1.295,0.902,0,0,1.352,1.695,0,3.15,3.848,1.076,0,0,2.008,2.542,0,0,1.904,0,0,0,0,0,0,3.649,1.315,0,0.91,0,1.373,2.542,3.931,0.815,1.03,1.088,2.676,1.196,1.573,0,1.449,0,0,2.719,0,0,0,0,2.477,1.268,0,0,0.637,0,2.185,1.45,0,0,3.292,1.579,0,1.372,0.874,1.048,0,0,1.704,0,0,1.998,0,1.793,0,0,0,0
487.3369,0,8.128,4.902,4.831,0,10.303,4.633,4.243,5.432,0,10.548,6.267,0,6.354,11.529,0,4.072,10.986,5.12,3.767,2.578,11.342,7.316,2.801,4.354,15.08,6.994,4.205,2.888,7.028,11.353,4.225,4.911,6.308,7.867,6.584,0,13.175,4.897,3.99,0,15.821,10.494,0,0,8.172,0,0,0,0,0,0,12.796,8.129,0,7.281,6.01,9.848,9.583,15.931,3.807,7.286,86.306,10.72,7.675,5.314,0,6.245,3.707,0,12.918,3.139,0,4.6,3.104,12.71,5.611,5.208,1.821,7.839,0,3.01,10.596,5.083,0,16.056,10.069,0,7.542,7.574,8.964,4.205,0,8.503,4.556,5.72,5.403,4.383,9.861,0,4.135,4.272,0
545.2926,0,0.707,0.882,0.294,0.445,1.216,0.61,0.383,0.517,0.427,0.667,0.481,0.384,0.598,0.963,0.49,0.498,0.567,0.536,0.409,0.423,0.804,0.543,0.604,0,0.999,1.046,0.288,0,0.492,0.673,0,0.489,0.409,0.663,0.486,0,0.956,0.541,0.261,0,0.865,0.587,0.321,0,0.444,0,0,0,0,0,0,0.906,0.582,0,0.759,0,0,0.845,0.6,0,0,1.804,0.515,0.332,0,0,0,0,0,0.471,0,0,0,0,0.52,0.374,0,0.203,0,0,0.266,0.418,0,0,0.283,0.329,0,0.225,0.31,0.309,0,0,0.375,0,0,0.366,0,0.276,0,0,0,0
511.3987,0,7.538,1.22,0.226,0.45,3.632,2.061,1.585,0.449,0.183,5.715,2.692,0.074,2.475,9.558,0.152,4.782,3.642,4.782,0.466,0.441,8.561,2.57,0.57,0.397,5.087,3.893,2.876,6.938,2.312,6.742,3.461,2.689,4.947,1.275,7.354,0,6.999,0.341,0.826,0.879,10.69,7.5,0.27,0.673,3.996,0.023,0.625,0,0.255,0,0.284,6.925,1.574,0.072,4.294,2.372,5.243,12.978,9.734,1.228,4.431,12.929,4.898,2.849,2.152,0.385,4.208,1.412,0,8.118,1.79,0.869,0.887,0.016,7.223,5.016,0.64,0.153,0.295,0.08,2.757,9.915,0.323,1.222,10.053,6.971,0,3.694,6.198,3.921,2.71,0.38,7.635,3.156,0.209,1.181,0.072,8.414,0,0.836,1.326,0.019
507.0012,17.104,20.908,10.279,16.655,0,20.703,18.389,10.183,12.439,17.131,20.758,13.951,11.097,22.356,20.646,22.133,16.408,16.442,19.726,16.786,8.366,8.498,7.14,15.832,8.95,12.03,15.647,13.777,16.391,13.813,18.713,8.223,18.304,5.299,19.273,11.649,12.917,13.408,11.161,8.952,0,11.582,0,0,0,11.454,0,0,15.099,0,0,6.556,12.136,10.738,0,9.605,9.423,9.482,11.296,13.317,17.231,8.228,13.261,0,9.877,8.084,11.406,15.94,16.976,8.65,14.13,0,19.752,0,19.348,0,14.164,0,13.017,0,8.205,11.998,5.032,5.945,6.99,0,7.225,5.041,7.904,11.683,0,9.957,8.695,9.05,5.268,6.037,0,0,12.432,0,9.564,10.568,7.591
551.3594,1.67,3.775,12.009,2.011,3.258,2.522,3.27,3.368,2.648,1.297,4.604,3.162,1.197,13.503,1.33,1.116,23.365,15.156,1.632,18.142,1.404,1.282,1.116,3.965,0.342,2.339,0.464,5.311,4.032,10.817,2.146,6.637,0.886,1.948,8.577,0.204,1.984,2.955,5.886,2.246,0.761,0.245,13.879,1.744,2.05,5.193,3.199,2.36,36.313,12.145,1.391,10.005,1.24,10.124,1.034,0.236,3.222,3.101,0.808,3.93,3.548,5.639,9.289,3.785,0.339,0.356,3.22,11.687,3.559,0.908,2.362,4.584,2.02,0.653,4.1,5.282,0.259,11.573,11.019,5.503,11.509,4.246,2.763,2.215,3.871,4.702,44.05,37.142,6.902,6.215,1.812,16.637,6.624,0.526,7.639,1.571,1.241,9.275,0.198,0.639,11.466,2.609,3.254
125.0964,10.305,23.293,8.092,20.399,5.692,20.444,16.879,9.13,8.294,13.805,21.802,13.74,9.978,23.164,23.955,20.089,15.159,16.235,20.133,14.993,4.977,7,5.025,13.85,6.153,12.618,17.514,13.639,13.589,12.649,18.545,6.043,19.825,3.684,17.541,9.831,11.554,14.856,9.495,9.246,6.664,12.441,7.913,5.569,5.958,11.737,6.831,6.185,17.441,6.141,5.105,4.614,13.279,9.777,3.776,8.442,9.891,7.452,12.159,13.918,17.945,6.814,14.843,3.452,10.738,6.707,12.197,16.832,18.917,6.531,16.466,3.512,19.678,5.198,16.695,5.515,15.569,3.409,14.44,1.873,8.73,14.334,4.577,5.778,7.094,3.049,10.284,4.781,9.955,14.274,1.996,9.998,8.999,9.998,5.88,4.867,3.045,4.636,14.171,3.255,8.08,9.527,8.842
389.0732,2.628,3.816,1.661,2.849,0,4.176,2.681,1.333,0,3.168,3.513,2.085,1.446,3.454,4.056,4.393,2.132,2.782,3.476,1.076,0.698,0.755,0.572,1.087,0,0,0.889,0.989,1.1,0.892,1.304,0,1.212,0.835,2.009,0.666,0.542,0.716,0.471,0.677,0,0.409,0,0,0,0,0,0,0.732,0,0,0,0.858,0,0,0,0,0,0,0.495,0.925,0.448,0,0,0.462,0,0.563,0,0,0.525,0,0,0,0,4.51,0,0.448,0,0,0,0.221,0.223,0,0,0.322,0,0.152,0.14,0.358,0.163,0,0.171,0,0,0.441,0,2.725,0,0,0,0,0,0
321.0871,4.036,0,0,2.755,0,3.833,3.093,2.745,3.094,0,3.18,0,0,0,2.481,2.843,0,0,3.215,2.58,0,1.413,2.629,1.906,0,2.866,3.691,1.579,2.336,1.537,2.18,0,2.049,1.777,2.203,0,2.426,2.822,2.086,0,0,1.683,0,0,0,0,0,2.837,3.1,0,0,2.386,1.244,1.536,0,1.517,1.808,1.284,0,2.596,1.661,2.989,0,0,0,0,0,3.081,2.348,2.839,0,0,0,0,0,0,2.122,0.821,1.453,0.991,1.906,2.136,1.385,1.33,1.293,0.993,1.196,0.93,0.946,1.349,1.27,1.631,1.472,1.712,1.511,0,7.384,0,0,0,0,0,3.028
351.1633,0,0,229.94,72.452,0,0,0,0,352.268,116.106,0,108.043,124.66,0,86.369,0,0,216.054,0,43.144,211.491,51.404,61.846,154.53,95.025,95.322,0,54.357,0,49.438,35.601,0,41.148,143.794,69.17,42.188,65.576,173.576,69.714,156.403,157.399,133.188,0,169.529,293.624,0,111.995,110.975,113.077,99.746,0,0,0,0,0,0,0,174.905,0,0,254.518,0,0,179.775,163.975,0,0,0,0,0,198.004,0,0,249.624,0,0,128.003,433.889,0,265.339,0,56.005,0,273.392,0,97.867,0,70.762,118.291,53.54,83.102,0,0,63.465,0,323.191,59.297,201.609,0,126.454,0,87.108,0
401.2149,12.172,31.225,10.052,28.23,6.913,16.391,13.976,7.266,13.188,18.847,27.295,17.928,7.354,25.731,28.367,26.195,15.501,11.058,26.273,9.578,6.198,6.66,7.444,10.224,8.29,14.778,27.508,13.777,15.851,15.371,23.417,7.35,16.834,5.974,24.42,8.705,12.878,17.242,13.815,9.044,5.926,14.056,6.403,5.701,5.674,15.113,5.572,11.265,23.745,9.858,5.251,6.872,22.607,10.815,8.888,10.44,10.204,10.79,21.777,23.064,17.276,12.731,15.602,5.284,15.134,18.137,11.616,14.329,17.715,10.547,22.439,5.919,18.246,9.403,26.98,6.527,23.787,5.012,8.753,6.088,14.131,10.178,7.065,5.932,10.984,5.397,20.76,8.559,9.165,21.444,5.687,10.585,10.665,6.701,10.498,8.311,8.438,4.705,10.06,4.394,13.184,10.498,12.555
533.3825,0,3.229,0.292,0.529,0.515,2.107,0.839,0.259,0.517,0.197,2.6,0.961,0,0.755,4.249,0,0.585,2.972,2.499,1.143,0.475,3.673,3.753,0.471,0.168,5.488,3.164,1.158,0.675,3.148,2.91,2.01,1.655,2.432,2.012,3.031,0,5.937,0.502,0.217,0.586,5.504,4.812,0.631,0.887,2.859,0.041,0.355,0.027,0.044,0,0.308,7.709,1.116,0,2.266,1.135,3.217,4.82,7.714,0.866,3.302,4.184,3.598,2.329,1.327,0.129,1.677,0.861,0,5.106,0.514,0.165,0.679,0,6.126,2.5,0.686,0.108,0.695,0.061,1.955,5.812,0.035,0.174,10.157,2.673,0,2.429,2.238,3.235,0.594,0.106,4.06,0.349,0.568,1.249,0.046,5.254,0,0.423,0.92,0.016
273.3103,25.48,49.035,19.388,37.192,12.18,42.808,35.284,18.984,19.783,30.744,46.435,28.564,20.845,51.059,50.93,44.52,37.388,35.146,44.615,39.717,14.383,19.671,14.113,36.211,15.964,32.669,41.583,34.036,35.235,35.525,49.873,18.342,49.706,10.761,47.715,25.958,29.894,38.586,29.536,27.224,17.664,34.065,21.458,14.641,17.21,35.746,17.867,15.955,44.837,19.366,15.999,12.11,34.643,26.667,8.703,20.532,28.22,22.24,29.02,36.947,47.859,22.58,38.58,9.585,29.011,24.701,34.406,45.672,48.954,22.89,46.504,13.145,53.27,18.065,49.69,18.721,43.423,11.138,41.03,8.646,27.479,39.545,16.652,20.297,25.082,12.071,28.074,19.207,28.386,40.797,10.877,37.863,30.165,31.473,22.827,18.184,13.557,16.243,45.08,12.804,31.461,34.471,33.265
429.2477,14.943,33.601,12.603,27.968,9.575,19.346,11.527,6.758,13.662,26.512,28.876,21.716,8.451,29.59,29.031,30.545,17.003,10.855,29.496,13.148,6.757,6.202,9.589,13.556,9.174,16.963,29.618,14.338,11.557,18.231,15.197,7.086,18.958,6.4,27.514,10.351,16.115,18.832,18.204,8.012,6.812,14.239,8.513,5.18,6.342,18.42,5.871,15.901,22.728,11.327,6.662,8.456,20.938,11.186,9.282,10.766,10.737,10.509,23.289,27.158,18.932,16.164,14.74,4.427,12.783,10.39,10.236,17.366,17.786,11.34,23.441,6.142,24.252,8.984,24.292,5.265,20.395,3.642,8.848,8.181,16.791,11.193,11.489,7.35,10.888,7.125,17.99,8.572,12.271,24.007,6.936,10.072,12.442,8.296,9.568,9.191,7.403,4.431,12.341,4.15,15.391,13.128,12.64
357.0307,12.729,13.034,13.56,12.37,20.573,22.152,22.676,17.406,23.472,30.66,13.276,19.294,30.811,14.826,22.983,20.086,32.561,24.133,12.324,12.65,27.244,17.911,37.508,9.471,7.424,4.075,8.072,23.736,16.965,10.101,9.351,11.815,14.848,22.948,15.118,21.032,10.799,14.089,18.864,12.317,9.516,12.023,22.898,43.801,17.829,12.222,12.117,20.487,12.274,37.893,12.134,17.29,3.868,20.059,37.799,17.014,30.685,19.81,11.025,6.892,31.427,24.773,30.713,45.111,44.361,15.673,10.263,4.884,21.321,11.423,18.022,29.783,10.699,12.483,10.069,21.882,12.784,9.814,11.664,22.197,16.408,5.652,10.441,20.46,9.904,8.692,6.832,9.142,16.985,9.125,6.961,29.693,6.633,14.834,28.346,12.317,14.26,12.954,7.38,11.871,29.436,25.25,0
580.3429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,2.138,5.946,1.112,3.662,1.202,2.381,4.635,1.915,1.196,4.629,1.714,4.627,4.081,5.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.989,5.537,5.573,8.775,5.676,8.769,6.125,7.133,1.918,2.306,3.042,4.061,1.86,1.245,0.938,2.228,2.607,0.262,0.841,0.774,0.929,0.989,1.489,1.078,1.813,0.699,7.499,3.642,3.486,4.479,6.182,2.912,0,8.38,0,8.256,5.258,2.706,3.462,0,0,0,0,3.135,0,3.038,9.962,4.17,0,0,0,9.428
443.265,169.532,307.034,179.32,241.855,94.897,189.145,125.616,71.664,150.853,292.493,274.302,251.121,102,282.09,233.622,299.29,177.149,127.662,263.157,161.286,81.446,74.952,107.582,159.381,133.67,158.261,303.87,154.332,124.063,185.889,186.318,73.801,226.769,95.781,275.042,129.357,169.288,194.387,200.401,109.444,96.056,137.241,99,66.531,82.561,188.893,74.505,177.093,228.849,129.665,89.875,104.521,207.958,113.971,148.206,124.566,123.79,117.613,242.497,289.388,249.856,188.165,166.83,10.53,137.692,115.782,114.815,233.705,236.146,129.08,256.433,80.099,348.399,110.434,264.405,73.099,201.944,55.396,137.608,124.957,205.483,164.485,186.871,87.791,140.189,94.359,191.464,107.212,185.649,255.849,82.959,137.086,166.474,145.922,127.42,115.798,96.996,56.128,201.436,51.131,188.972,156.814,133.287
201.1123,12.789,30.334,12.55,29.948,3.644,23.113,22.018,14.236,10.746,20.539,25.84,20.161,12.986,29.68,30.389,29.657,22.249,18.616,25.772,21,10.394,20.934,10.593,18.965,13.273,18.14,28.41,20.015,23.393,20.012,25.887,13.316,28.292,7.806,27.442,16.616,20.166,21.965,16.376,16.58,10.296,18.429,18.109,10.269,11.338,19.835,11.919,13.844,28.205,11.022,11.27,6.089,19.948,13.215,7.579,14.55,15.113,10.62,16.99,19.893,24.337,11.58,19.316,7.922,14.151,7.442,16.203,22.19,26.461,8.151,22.396,5.184,25.194,8.719,32.378,7.874,22.795,4.624,17.935,4.903,12.171,20.215,9.111,8.705,11.261,5.542,18.006,10.167,15.382,19.076,3.204,12.929,13.416,14.879,10.511,6.215,0,0,18.971,0,10.396,14.617,15.232
531.0946,0,0,0,0,0,0,0,0,4.056,0,0,0,0,0,0,0,0,2.646,0,0,1.339,0.478,0,1.094,0.952,1.099,0,0,0,0,0,0,0,1.106,1.365,0.334,0.587,0.936,0.53,1.239,1.062,1.092,0,0.729,1.382,0,0.438,0,0.641,0,0,0,0.243,0,0,0,0,1.368,0,0.581,1.798,0.218,0.655,0.798,0.893,0.2,0.295,0,0.446,0.453,1.171,0.159,0.283,1.002,0.201,0.189,0.489,3.34,0.135,1.435,0.099,0.178,0.118,0.978,0.141,0.234,0.088,0.147,0.264,0.287,0.273,0.213,0.03,0.22,0.044,2.132,0.186,0.978,0.113,0.634,0,0.121,0
321.0627,21.141,8.838,10.916,14.212,0,13.351,9.924,12.53,11.652,0,11.292,0,0,0,8.172,7.616,0,0,9.875,11.439,4.619,4.27,15.637,6.467,0,13.905,17.476,4.648,7.669,0,10.56,5.909,8.458,8.873,8.129,3.846,11.491,12.226,11.158,0,6.789,5.019,0,0,5.113,0,6.802,14.025,13.918,0,8.018,12.882,2.445,5.383,0,4.376,6.279,4.588,0,13.427,6.102,17.807,0,0,0,6.954,0,15.987,7.025,19.723,0,0,0,0,8.151,0,9.908,1.307,3.381,5.704,9.784,8.537,6.084,5.239,4.478,4.411,3.315,3.793,2.344,2.671,7.279,3.172,4.634,3.715,6.916,4.383,50.864,0,0,0,7.038,0,16.864
483.3678,0,25.037,0,6.361,11.296,20.647,15.398,7.853,0,0,22.532,16.434,0,12.375,25.04,0,14.343,17.653,17.126,7.413,7.722,32.279,13.576,8.233,5.182,25.801,18.783,16.207,22.784,20.671,29.932,18.692,17.571,19.382,0,28.205,0,26.009,0,0,0,36.429,0,0,0,0,0,0,0,0,0,0,27.514,8.183,0,25.582,13.942,27.931,30.449,30.055,6.183,19.485,24.17,26.605,14.209,8.878,0,12.67,13.9,0,23.348,9.738,0,7.335,0,27.754,16.931,13.089,0,0,0,16.638,34.238,0,10.101,41.713,19.04,0,18.467,25.858,21.678,10.638,0,31.251,11.034,6.54,7.861,0,30.969,0,8.523,15.543,0
