Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104
Metabolite Name,54C,29H,6H,37H,56C,154C,68C,10C,9C,78C,52H,62C,88C,34H,56H,132C,66C,13H,31H,11H,74C,1C,130C,10H,114C,9H,35H,112C,21C,142C,45H,118C,41H,170C,52C,122C,108C,40H,64C,72C,98C,148C,116C,96C,166C,17C,140C,60C,49H,36C,20C,100C,33H,8H,81C,14C,164C,152C,28H,23H,44H,134C,7H,158C,168C,3C,146C,54H,57H,94C,12H,34C,42H,136C,46H,172C,55H,120C,14H,35C,24H,48H,20H,156C,16H,48C,30H,17H,27H,50H,144C,110C,21H,15H,160C,45C,19H,70C,39H,150C,92C,58C,47H
Factors,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Healthy,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Healthy,Class:Cancer,Class:Cancer,Class:Healthy,Class:Cancer,Class:Healthy,Class:Cancer,Class:Cancer,Class:Cancer,Class:Healthy
321.0301,56.434,15.953,0,0,0,7.401,6.662,5.513,8.746,6.317,0,7.574,24.029,0,0,15.499,13.533,0,0,1.928,32.614,6.634,6.923,0,7.625,0,0,2.306,42.96,3.911,15.972,0,4.091,11.735,1.391,0,0,1.026,15.669,3.478,35.003,1.492,8.283,1.962,12.417,0,48.557,0,9.235,0,57.294,3.677,6.774,3.413,0,1.6,4.724,2.478,0,5.641,8.66,2.85,4.429,23.947,9.085,0,0,0,0,56.338,0,0,0,0,9.744,0,20.594,1.623,3.849,0,0,0,0,6.112,12.802,26.639,0,1.089,0.582,1.611,8.819,23.205,0,0.682,10.758,12.245,50.68,0,0,13.815,5.583,4.541,0
273.2538,3.483,13.779,3.261,10.899,1,11.626,8.887,3.129,3.236,7.301,14.081,5.694,3.837,15.129,15.953,12.988,9.287,10.254,14.429,11.491,1.342,3.499,1.715,9.992,2.023,8.439,12.779,9.842,8.395,10.521,16.78,3.353,16.738,1.062,15.737,4.686,6.212,11.376,7.598,6.897,3.386,9.936,2.36,2.045,3.126,10.476,3.926,2.597,14.378,2.828,1.762,1.047,10.769,6.518,0.151,3.228,4.677,4.677,7.831,10.52,16.556,4.123,10.532,0.225,6.879,5.579,9.357,13.925,14.752,3.801,13.553,0.407,15.28,2.534,14.746,1.454,13.753,0.187,12.492,0.15,6.47,11.546,1.941,3.285,5.667,0.339,8.539,3.355,8.465,12.552,0.738,9.089,5.849,7.68,3.248,3.508,1.293,1.909,14.192,0.569,7.058,8.141,9.15
319.0322,173.964,53.37,16.273,9.748,0,26.297,22.739,21.406,29.973,24.218,13.071,25.861,79.945,0,0,51.515,47.501,0,0,9.137,110.706,26.339,34.034,0,28.471,4.239,5.217,11.258,145.413,15.495,55.624,4.133,16.58,40.517,8.287,4.109,0,6.14,54.794,12.497,117.123,7.94,37.706,9.682,42.948,4.862,161.813,0,34.95,0,195.625,17.896,25.358,14.773,10.118,9.378,19.448,12.238,0,26.012,32.303,13.992,18.934,86.985,33.495,0,0,0,0,187.16,0,13.521,0,0,40.492,0,72.182,10.969,18.367,3.584,4.278,0,2.18,28.481,48.025,96.608,1.381,7.075,4.009,8.625,35.253,86.433,3.402,5.547,44.706,45.151,174.711,0,0,58.151,27.31,21.816,0
239.0917,301.239,101.171,25.008,15.452,0,43.76,42.14,30.96,51.941,42.059,18.804,47.809,129.652,0,0,88.419,82.715,0,0,12.159,150.712,39.27,47.567,0,40.126,0,8.654,12.966,179.987,20.055,76.454,0,25.466,58.619,7.115,0,0,0,67.364,17.477,141.656,8.341,45.375,0,48.261,0,166.954,0,40.977,0,200.619,22.285,37.584,22.528,13.341,13.004,30.596,15.257,0,37.753,44.479,13.891,28.047,110.804,37.053,0,0,0,0,221.442,0,19.153,0,0,58.541,0,97.337,0,24.359,0,0,0,0,38.131,64.444,124.487,0,10.074,0,9.435,38.217,97.693,0,0,54.204,49.716,200.087,0,0,70.145,32.588,23.25,0
261.0734,195.624,64.313,19.906,12.772,0,31.297,27.649,32.74,38.749,27.868,18.226,37.084,91.944,0,0,64.082,59.538,0,0,15.608,129.758,36.293,41.48,6.588,36.957,6.825,9.304,14.867,175.566,20.77,71.397,8.302,23.416,55.467,13.391,7.559,0,9.368,70.904,20.023,147.57,11.327,46.84,11.634,60.063,8.297,196.33,0,48.901,0,226.81,22.225,33.448,20.101,13.229,12.033,87.373,14.824,0,35.078,37.553,16.543,23.821,99.569,42.217,0,0,0,0,209.565,0,0,0,0,52.689,0,87.485,15.03,24.299,0,0,0,0,35.338,65.648,120.677,0,10.668,5.839,11.785,42.828,103.031,0,0,58.198,56.414,209.417,0,0,68.645,31.82,26.27,0
211.0938,35.077,24.846,13.736,0,0,24.499,13.594,21.86,17.235,0,18.088,17.785,19.321,13.006,0,48.125,17.751,10.045,14.122,13.714,28.951,18.7,12.299,9.741,15.784,0,9,0,144.411,14.018,35.891,0,11.241,14.517,10.858,0,0,0,22.689,14.505,17.336,7.546,21.644,0,0,0,40.74,0,15.425,0,76.182,0,28.73,0,0,20.575,0,0,0,0,0,0,0,0,0,0,0,0,0,36.134,0,0,0,0,0,0,0,12.999,8.889,13.269,0,0,0,0,28.947,15.554,0,0,0,7.806,0,18.478,0,0,16.598,0,0,0,0,0,0,0,0
403.1969,0,27.772,17.113,20.588,0,22.539,19.551,0,0,17.083,24.363,0,0,22.808,27.575,20.143,0,0,24.636,10.85,0,0,0,9.744,0,13.165,18.809,14.838,0,13.969,16.515,0,13.348,0,23.271,11.662,14.41,17.739,12.693,12.607,8.97,14.926,0,0,0,14.425,0,0,23.954,0,0,7.204,16.771,16.646,8.787,10.997,14.038,11.116,16.83,16.026,14.894,11.305,17.556,0,14.48,8.641,15.605,10.904,11.82,15.022,22.692,7.095,13.495,7.104,24.474,0,20.149,5.583,9.01,4.27,12.782,9.799,5.068,8.375,11.815,7.334,15.244,8.683,6.354,18.765,5.82,13.46,12.315,7.129,8.013,7.954,10.038,0,9.998,0,12.545,12.607,10.077
195.1021,241.583,79.788,18.868,11.82,3.04,33.88,33.413,30.757,41.153,35.782,20.195,36.84,110.187,2.253,4.747,72.98,67.3,3.964,1.816,10.519,146.258,38.689,45.409,2.271,39.286,5.81,7.638,14.624,190.649,20.681,81.058,3.208,26.275,57.647,12.386,3.306,0.369,8.387,71.967,18.354,158.297,10.077,48.632,12.46,58.847,4.452,198.353,0.762,45.705,0.466,236.568,22.808,38.477,22.196,13.109,12.219,28.117,14.654,1.917,40.643,47.498,19.055,28.657,123.198,52.265,1.503,1.815,1.249,5.735,259.205,7.219,21.189,5.794,3.069,65.293,2.448,112.096,13.416,26.147,1.514,1.5,0.269,0.355,39.937,67.711,129.713,0.548,9.85,4.181,11.849,41.348,109.863,3.333,6.472,60.334,56.007,234.861,3.344,0.347,76.567,37.124,28.256,0.639
215.1279,13.112,39.051,8.865,37.353,6.683,31.657,18.25,10.269,11.712,25.061,34.733,15.434,9.586,35.958,41.677,38.777,27.894,24.752,36.169,25.865,6.869,16.517,7.599,28.428,9.826,24.012,43.44,27.796,30.781,28.833,37.894,10.183,41.098,5.447,37.911,21.195,24.941,33.154,23.139,21.711,8.846,27.491,13.464,8.512,9.141,28.942,10.044,12.099,42.15,10.337,9.167,6.992,28.325,21.451,7.07,12.373,13.408,10.854,29.295,34.926,42.218,10.912,33.266,5.959,15.942,8.284,27.892,38.836,42.767,9.751,37.632,7.066,43.698,8.949,46.237,10.276,40.403,6.442,30.381,5.503,13.489,34.179,8.417,10.289,11.785,6.533,27.598,9.259,23.938,34.674,4.118,13.065,14.316,15.719,11.309,7.241,7.555,8.256,32.95,0,14.024,15.779,15.112
579.3894,0.714,0.531,11.83,0.838,2.94,1.336,2.114,2.664,2.501,1.565,3.63,1.901,1.295,10.502,1.193,0.593,13.296,9.185,1.246,18.989,0.296,0.569,0.056,3.846,0.076,0.51,0.27,2.014,3.293,3.511,1.234,3.328,0.306,1.96,5.204,0.141,0.711,1.268,10.365,1.372,0.474,0.229,12.59,2.134,2.608,3.906,2.105,2.975,23.779,13.465,5.01,5.504,1.113,3.801,1.595,0.321,1.322,1.637,0.459,4.721,2.371,0.217,0.704,1.489,0,0.091,1.277,6.429,0.972,0.055,0.798,1.513,0.133,0.038,1.204,2.516,0.059,5.271,14.545,1.851,40.781,3.281,1.311,1.411,3.061,2.25,12.824,12.501,4.396,3.237,0.312,1.404,6.689,0.706,6.162,0.341,2.366,12.02,0.394,0.896,1.127,1.09,8.442
